SURVYEAR	LEAID	FIPST	STID	NAME	PHONE	MSTREE	MCITY	MSTATE	MZIP	MZIP4	LSTREE	LCITY	LSTATE	LZIP	LZIP4	TYPE	UNION	CONUM	CONAME	CSA	CBSA	METMIC	ULOCAL	CDCODE	CDCODE_112	LATCOD	LONCOD	BIEA	BOUND	AMEMPUP	IAMEMPUP	AFTEPUP	IAFTEPUP	GSLO	GSHI	PKOFFRD	KGOFFRD	G01OFFRD	G02OFFRD	G03OFFRD	G04OFFRD	G05OFFRD	G06OFFRD	G07OFFRD	G08OFFRD	G09OFFRD	G10OFFRD	G11OFFRD	G12OFFRD	UGOFFRD	AGCHRT	SCH	SPECED	ELL	PKTCH	KGTCH	ELMTCH	SECTCH	UGTCH	TOTTCH	AIDES	CORSUP	ELMGUI	SECGUI	OTHGUI	TOTGUI	LIBSPE	LIBSUP	LEAADM	LEASUP	SCHADM	SCHSUP	STUSUP	OTHSUP	RACECAT	PK	AMPKM	AMPKF	ASPKM	ASPKF	HIPKM	HIPKF	BLPKM	BLPKF	WHPKM	WHPKF	HPPKM	HPPKF	TRPKM	TRPKF	KG	AMKGM	AMKGF	ASKGM	ASKGF	HIKGM	HIKGF	BLKGM	BLKGF	WHKGM	WHKGF	HPKGM	HPKGF	TRKGM	TRKGF	G01	AM01M	AM01F	AS01M	AS01F	HI01M	HI01F	BL01M	BL01F	WH01M	WH01F	HP01M	HP01F	TR01M	TR01F	G02	AM02M	AM02F	AS02M	AS02F	HI02M	HI02F	BL02M	BL02F	WH02M	WH02F	HP02M	HP02F	TR02M	TR02F	G03	AM03M	AM03F	AS03M	AS03F	HI03M	HI03F	BL03M	BL03F	WH03M	WH03F	HP03M	HP03F	TR03M	TR03F	G04	AM04M	AM04F	AS04M	AS04F	HI04M	HI04F	BL04M	BL04F	WH04M	WH04F	HP04M	HP04F	TR04M	TR04F	G05	AM05M	AM05F	AS05M	AS05F	HI05M	HI05F	BL05M	BL05F	WH05M	WH05F	HP05M	HP05F	TR05M	TR05F	G06	AM06M	AM06F	AS06M	AS06F	HI06M	HI06F	BL06M	BL06F	WH06M	WH06F	HP06M	HP06F	TR06M	TR06F	G07	AM07M	AM07F	AS07M	AS07F	HI07M	HI07F	BL07M	BL07F	WH07M	WH07F	HP07M	HP07F	TR07M	TR07F	G08	AM08M	AM08F	AS08M	AS08F	HI08M	HI08F	BL08M	BL08F	WH08M	WH08F	HP08M	HP08F	TR08M	TR08F	G09	AM09M	AM09F	AS09M	AS09F	HI09M	HI09F	BL09M	BL09F	WH09M	WH09F	HP09M	HP09F	TR09M	TR09F	G10	AM10M	AM10F	AS10M	AS10F	HI10M	HI10F	BL10M	BL10F	WH10M	WH10F	HP10M	HP10F	TR10M	TR10F	G11	AM11M	AM11F	AS11M	AS11F	HI11M	HI11F	BL11M	BL11F	WH11M	WH11F	HP11M	HP11F	TR11M	TR11F	G12	AM12M	AM12F	AS12M	AS12F	HI12M	HI12F	BL12M	BL12F	WH12M	WH12F	HP12M	HP12F	TR12M	TR12F	UG	AMUGM	AMUGF	ASUGM	ASUGF	HIUGM	HIUGF	BLUGM	BLUGF	WHUGM	WHUGF	HPUGM	HPUGF	TRUGM	TRUGF	MEMBER	AM	AMALM	AMALF	ASIAN	ASALM	ASALF	HISP	HIALM	HIALF	BLACK	BLALM	BLALF	WHITE	WHALM	WHALF	PACIFIC	HPALM	HPALF	TR	TRALM	TRALF	TOTETH
2011	0100002	01	210	ALABAMA YOUTH SERVICES	3342153850	P O BOX 66	MT MEIGS	AL	36057	0066	1000 INDUSTRIAL SCHOOL RD	MT. MEIGS	AL	36057	0066	5	000	01101	MONTGOMERY COUNTY	388	33860	1	41	0103	0103	32.377000	-86.083000	2	1	2	PS	2	PS	03	12	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	3	7	51	0	0.00	0.00	0.00	0.00	-2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	0100005	01	101	ALBERTVILLE CITY	2568911183	107 WEST MAIN ST	ALBERTVILLE	AL	35950	0025	107 WEST MAIN ST	ALBERTVILLE	AL	35950	0025	1	000	01095	MARSHALL COUNTY	N	10700	2	32	0104	0104	34.267960	-86.208982	2	1	2	PS	2	PS	PK	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	6	313	595	4.00	26.00	117.00	93.00	-2.00	240.00	21.25	5.75	4.50	4.00	0.00	8.50	7.00	4.00	6.08	15.85	12.90	19.65	8.50	114.52	7	91	0	0	0	0	32	22	0	0	21	16	0	0	0	0	400	0	0	0	0	108	100	2	1	94	79	0	0	7	9	411	0	0	0	0	92	84	6	6	115	103	0	0	4	1	368	0	0	0	1	69	76	2	2	108	105	0	0	2	3	342	0	0	0	2	76	60	3	1	92	100	0	0	4	4	297	2	0	0	1	51	61	1	2	84	87	0	0	4	4	302	0	0	1	0	58	56	2	3	83	94	0	0	3	2	299	0	0	2	0	53	54	2	2	90	96	0	0	0	0	302	0	0	1	0	50	35	7	2	99	108	0	0	0	0	306	0	2	1	0	49	45	4	2	88	114	0	0	0	1	280	0	0	0	0	39	36	2	3	88	111	0	0	0	1	244	1	0	1	0	29	24	2	3	86	98	0	0	0	0	253	0	0	0	1	27	23	3	7	104	88	0	0	0	0	245	0	0	0	0	23	16	3	1	94	108	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	4140	5	3	2	11	6	5	1448	756	692	74	39	35	2553	1246	1307	0	0	0	49	24	25	4140
2011	0100006	01	048	MARSHALL COUNTY	2565823171	12380 US HIGHWAY 431 S	GUNTERSVILLE	AL	35976	9351	12380 US HWY 431 SOUTH	GUNTERSVILLE	AL	35976	9351	1	000	01095	MARSHALL COUNTY	N	10700	2	42	0104	0104	34.305014	-86.286717	2	1	2	PS	2	PS	PK	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	15	749	328	7.00	37.00	199.74	178.00	-2.00	421.74	44.00	9.00	8.00	6.00	0.00	14.00	13.00	0.00	4.65	11.00	22.35	27.00	15.59	201.65	7	123	0	0	2	1	7	8	1	0	52	51	0	0	1	0	440	0	0	0	0	41	43	4	3	176	167	0	0	2	4	484	2	0	0	0	46	40	0	2	209	179	0	0	2	4	451	0	0	0	0	45	44	7	2	185	164	0	0	1	3	439	0	0	0	0	49	37	2	3	168	175	0	0	3	2	451	0	2	0	1	48	36	3	1	185	174	0	0	1	0	426	1	1	0	0	32	33	1	0	204	153	0	0	0	1	471	1	2	1	0	36	26	4	2	197	201	0	0	0	1	483	0	0	1	0	33	34	4	5	214	191	0	0	1	0	485	1	0	1	0	31	37	3	2	200	210	0	0	0	0	435	0	2	0	0	24	23	1	2	215	168	0	0	0	0	419	0	0	0	0	31	16	2	2	194	171	0	0	3	0	398	0	1	0	0	20	15	3	1	180	178	0	0	0	0	376	0	0	1	0	13	13	0	3	192	154	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	5881	13	5	8	8	6	2	861	456	405	63	35	28	4907	2571	2336	0	0	0	29	14	15	5881
2011	0100007	01	158	HOOVER CITY	2054391015	2810 METROPOLITAN WAY	HOOVER	AL	35243	5500	2810 METROPOLITAN WAY	HOOVER	AL	35243	5500	1	000	01073	JEFFERSON COUNTY	142	13820	1	13	0106	0106	33.406228	-86.766865	2	1	2	PS	2	PS	PK	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	17	1049	489	6.00	95.50	431.28	465.68	-2.00	998.46	94.50	14.00	20.00	10.00	0.00	30.00	18.00	14.50	8.20	26.64	43.00	83.96	48.45	550.00	7	63	0	0	6	1	7	1	6	4	28	9	0	0	1	0	1060	1	2	44	26	51	35	127	129	327	302	0	1	10	5	971	0	0	43	20	29	36	110	107	333	276	0	3	6	8	993	0	1	39	43	33	39	107	122	328	270	1	0	3	7	1000	0	0	52	29	22	40	114	102	322	312	0	0	2	5	976	0	0	34	34	26	33	106	112	322	299	1	1	4	4	1059	0	0	35	36	27	22	126	128	335	342	0	0	3	5	1042	0	0	40	39	21	21	147	107	366	299	1	0	1	0	1121	1	0	37	32	31	29	143	143	352	351	0	0	1	1	1031	0	0	27	29	23	18	144	112	341	330	0	0	4	3	1104	0	0	36	38	24	17	138	159	356	335	0	0	1	0	1039	0	0	37	29	28	14	126	117	328	349	1	0	6	4	989	0	0	24	17	15	21	119	123	324	344	0	0	1	1	1000	0	0	35	32	19	23	96	119	352	318	1	1	2	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	13448	5	2	3	894	489	405	705	356	349	3193	1609	1584	8550	4414	4136	11	5	6	90	45	45	13448
2011	0100008	01	169	MADISON CITY	2564648370	211 CELTIC DRIVE	MADISON	AL	35758	1615	211 CELTIC DR	MADISON	AL	35758	1615	1	000	01089	MADISON COUNTY	290	26620	1	22	0105	0105	34.687321	-86.744908	2	1	2	PS	2	PS	PK	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	10	878	237	8.00	51.00	202.00	242.50	-2.00	503.50	65.00	9.00	7.00	10.00	0.00	17.00	12.00	10.00	9.00	20.75	28.00	5.00	17.00	249.75	7	85	0	0	2	4	1	3	9	5	36	21	0	0	2	2	624	4	0	31	36	12	11	60	61	205	185	1	1	9	8	630	1	5	30	31	20	6	62	62	196	200	0	1	8	8	606	3	4	26	24	13	15	58	47	217	192	0	0	4	3	636	0	3	34	30	14	13	60	54	223	195	2	0	5	3	638	3	1	39	32	15	13	56	55	217	197	0	1	3	6	637	0	3	31	27	5	18	62	59	208	213	1	1	6	3	719	0	0	38	35	11	12	76	68	226	242	0	1	3	7	704	0	2	32	23	9	4	89	67	240	229	0	0	5	4	676	0	1	33	27	7	13	80	63	239	206	1	0	1	5	802	3	1	26	22	15	7	86	89	273	269	0	0	3	8	780	0	1	17	23	15	11	77	76	271	279	0	0	5	5	735	4	4	24	31	14	18	76	79	233	247	0	1	4	0	770	3	0	20	20	15	4	97	77	286	242	3	0	2	1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	9042	46	21	25	748	383	365	314	166	148	1810	948	862	5987	3070	2917	14	8	6	123	60	63	9042
2011	0100009	01	600	AL INST DEAF AND BLIND	2567613200	P O DRAWER 698	TALLADEGA	AL	35161	0698	P O DRAWER 698	TALLADEGA	AL	35161	2411	5	000	01121	TALLADEGA COUNTY	N	45180	2	32	0103	0103	33.456642	-86.271839	2	1	2	PS	2	PS	KG	12	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	387	0	0.00	0.00	0.00	0.00	-2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	0100011	01	167	LEEDS CITY	2056995437	P O BOX 1083	LEEDS	AL	35094		8121 PARKWAY DR	LEEDS	AL	35094		1	000	01073	JEFFERSON COUNTY	142	13820	1	31	0106	0106	33.543265	-86.541303	2	1	2	PS	2	PS	KG	12	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	186	96	1.00	12.00	46.00	41.00	-2.00	100.00	6.00	1.00	2.00	1.00	0.00	3.00	2.00	1.00	3.00	5.45	6.00	11.00	5.55	31.00	7	30	0	0	0	0	0	1	4	3	12	10	0	0	0	0	162	0	0	0	0	8	7	22	14	59	43	0	0	3	6	161	0	0	0	1	6	8	19	12	55	53	0	0	3	4	143	2	0	0	2	13	7	16	13	51	39	0	0	0	0	141	0	0	1	0	11	8	16	14	45	45	0	0	0	1	139	0	0	1	0	10	6	16	18	39	49	0	0	0	0	112	0	0	1	1	7	3	21	10	28	38	0	0	1	2	132	2	0	1	0	8	8	20	15	41	36	0	0	1	0	112	0	0	0	1	6	7	14	11	36	29	0	0	5	3	127	0	0	0	0	9	2	15	20	40	39	0	0	1	1	122	2	1	1	0	7	2	21	15	35	37	0	0	1	0	108	0	1	0	0	7	4	14	18	38	25	0	0	1	0	88	0	0	0	1	3	5	21	11	24	23	0	0	0	0	93	0	0	0	0	4	2	16	18	33	20	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1670	8	6	2	11	5	6	169	99	70	427	235	192	1022	536	486	0	0	0	33	16	17	1670
2011	0100012	01	115	BOAZ CITY	2565938180	P O BOX 721	BOAZ	AL	35957		126 NEWT PARKER DR	BOAZ	AL	35957		1	000	01095	MARSHALL COUNTY	N	10700	2	32	0104	0104	34.212863	-86.161147	2	1	2	PS	2	PS	PK	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	5	187	154	8.00	14.00	62.00	59.00	-2.00	143.00	14.75	1.86	4.00	2.00	0.00	6.00	5.00	0.00	3.64	4.00	7.50	13.50	7.00	62.75	7	78	0	0	0	0	14	12	1	0	25	23	0	0	2	1	180	0	1	0	0	28	17	1	2	63	65	1	0	0	2	173	0	0	2	1	22	26	1	0	55	61	0	0	2	3	177	0	0	0	0	25	22	3	0	59	62	0	1	4	1	176	1	1	0	0	25	16	4	2	50	72	2	1	1	1	145	0	0	0	0	11	14	1	0	51	63	0	1	3	1	157	1	0	1	0	12	17	1	1	63	61	0	0	0	0	161	0	1	0	0	9	11	2	1	69	64	0	0	1	3	187	0	1	0	3	9	17	2	0	87	68	0	0	0	0	148	0	0	1	0	10	6	2	1	66	62	0	0	0	0	175	1	2	3	2	16	11	1	0	86	50	0	3	0	0	143	0	0	4	1	6	5	1	0	66	59	1	0	0	0	165	0	0	1	1	7	13	2	2	69	66	1	2	0	1	151	0	0	1	1	6	10	1	2	69	59	0	1	0	1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2216	9	3	6	22	13	9	397	200	197	34	23	11	1713	878	835	14	5	9	27	13	14	2216
2011	0100013	01	205	TRUSSVILLE CITY	2052283018	113 N CHALKVILLE ROAD	TRUSSVILLE	AL	35173		113 NORTH CHALKVILLE RD	TRUSSVILLE	AL	35173		1	000	01073	JEFFERSON COUNTY	142	13820	1	41	0106	0106	33.620613	-86.608863	2	1	2	PS	2	PS	KG	12	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	299	58	0.00	20.00	109.40	120.46	-2.00	249.86	25.00	4.00	5.00	3.00	0.00	8.00	4.00	5.00	5.00	7.89	12.00	17.00	7.40	133.26	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	277	1	0	4	2	3	1	9	12	120	117	0	0	4	4	294	0	0	4	4	0	0	13	12	131	128	0	0	2	0	314	0	0	3	9	0	0	11	10	142	134	0	0	1	4	317	0	0	5	6	1	1	10	12	152	128	0	0	2	0	295	1	1	4	1	0	2	15	14	115	142	0	0	0	0	327	0	0	3	5	0	0	13	18	139	144	0	0	1	4	343	0	0	4	5	0	1	11	17	148	152	0	0	4	1	332	0	0	3	2	1	3	16	15	147	140	0	0	2	3	362	0	2	5	5	2	1	31	19	161	134	0	0	1	1	336	0	0	3	3	0	3	17	14	144	145	0	0	0	7	398	0	1	4	3	4	0	17	19	175	169	0	0	5	1	313	0	1	6	1	3	2	19	12	127	139	1	0	0	2	280	1	0	2	1	1	1	17	15	125	117	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	4189	8	3	5	97	50	47	30	15	15	388	199	189	3616	1827	1789	1	1	0	49	22	27	4189
2011	0100015	01	602	SAFETYNET ACADEMY	3348726196	1221 ALTON DRIVE	BIRMINGHAM	AL	35210		1221 ALTON DR	BIRMINGHAM	AL	35210		5	000	01073	JEFFERSON COUNTY	142	13820	1	12	0106	0106	33.584890	-86.647918	2	1	2	PS	2	PS	06	12	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	3	4	39	0	0.00	0.00	0.00	0.00	-2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
